"StateAbbr","Location.ID","Location","Value","Rank","Anomaly..1901.2000.base.period.","X1901.2000.Mean","StateDesc","County"
"AR","AR-087","Madison County",56.9417,78,0.4788,56.5,"Arkansas","Madison County"
"AR","AR-089","Marion County",57.5083,74,0.4231,57.1,"Arkansas","Marion County"
"AR","AR-091","Miller County",64.15,94,0.5905,63.6,"Arkansas","Miller County"
"AR","AR-093","Mississippi County",61.5333,107,1.3925,60.1,"Arkansas","Mississippi County"
"AR","AR-095","Monroe County",62.775,105,1.1176,61.7,"Arkansas","Monroe County"
"AR","AR-123","St. Francis County",62.425,104,1.158,61.3,"Arkansas","St. Francis County"
"AR","AR-115","Pope County",59.65,81,0.5712,59.1,"Arkansas","Pope County"
"AR","AR-109","Pike County",61.7,88,0.5351,61.2,"Arkansas","Pike County"
"AR","AR-111","Poinsett County",61.1667,101,1.0836,60.1,"Arkansas","Poinsett County"
"AR","AR-113","Polk County",60.1167,90,0.8203,59.3,"Arkansas","Polk County"
"AR","AR-117","Prairie County",62.3167,94,0.7575,61.6,"Arkansas","Prairie County"
"AR","AR-119","Pulaski County",61.7917,74,0.3487,61.4,"Arkansas","Pulaski County"
"AR","AR-121","Randolph County",58.9083,92,0.8763,58,"Arkansas","Randolph County"
"AZ","AZ-001","Apache County",50.4583,90,0.7057,49.8,"Arizona","Apache County"
"AZ","AZ-003","Cochise County",61.125,90,0.7813,60.3,"Arizona","Cochise County"
"AZ","AZ-005","Coconino County",52.5417,85,0.7942,51.7,"Arizona","Coconino County"
"AZ","AZ-021","Pinal County",68.9333,97,1.2688,67.7,"Arizona","Pinal County"
"AZ","AZ-023","Santa Cruz County",60.3333,76,0.4292,59.9,"Arizona","Santa Cruz County"
"AZ","AZ-025","Yavapai County",59.2583,92,1.015,58.2,"Arizona","Yavapai County"
"AZ","AZ-027","Yuma County",72.15,92,1.2491,70.9,"Arizona","Yuma County"
"AZ","AZ-012","La Paz County",70.975,83,0.6849,70.3,"Arizona","La Paz County"
"AZ","AZ-007","Gila County",59.8333,99,1.3017,58.5,"Arizona","Gila County"
"AZ","AZ-009","Graham County",61.2583,96,1.0236,60.2,"Arizona","Graham County"
"AZ","AZ-011","Greenlee County",57.025,106,1.2721,55.8,"Arizona","Greenlee County"
"AZ","AZ-019","Pima County",67.6167,92,1.0825,66.5,"Arizona","Pima County"
"AZ","AZ-013","Maricopa County",70.525,93,1.3627,69.2,"Arizona","Maricopa County"
"AZ","AZ-015","Mohave County",61.825,79,0.4407,61.4,"Arizona","Mohave County"
"AZ","AZ-017","Navajo County",51.975,93,0.8082,51.2,"Arizona","Navajo County"
"CA","CA-003","Alpine County",43.4667,73,0.1854,43.3,"California","Alpine County"
"CA","CA-011","Colusa County",61.6,104,1.2443,60.4,"California","Colusa County"
"CA","CA-005","Amador County",57.8083,87,0.5779,57.2,"California","Amador County"
"CA","CA-007","Butte County",60.225,108,1.4358,58.8,"California","Butte County"
"CA","CA-009","Calaveras County",58.25,88,0.6198,57.6,"California","Calaveras County"
"CA","CA-001","Alameda County",59.6833,116,1.7978,57.9,"California","Alameda County"
"CA","CA-055","Napa County",59.9917,114,1.8073,58.2,"California","Napa County"
"CA","CA-057","Nevada County",51.8917,68,0.1609,51.7,"California","Nevada County"
"CA","CA-059","Orange County",63.8917,100,1.5412,62.4,"California","Orange County"
"CA","CA-061","Placer County",53.4417,77,0.4027,53,"California","Placer County"
"CA","CA-063","Plumas County",47.075,77,0.2829,46.8,"California","Plumas County"
"CA","CA-065","Riverside County",67.6417,88,0.8581,66.8,"California","Riverside County"
"CA","CA-067","Sacramento County",62.8583,119,1.7597,61.1,"California","Sacramento County"
