Location ID,Location,Value,Rank,Anomaly (1901-2000 base period),1901-2000 Mean
OK-127,Pushmataha County,61.7583,93,0.6685,61.1
OK-129,Roger Mills County,58.9417,82,0.5597,58.4
OK-131,Rogers County,59.4917,66,0.0387,59.5
OK-133,Seminole County,60.85,59,-0.0808,60.9
OK-135,Sequoyah County,60.9833,84,0.5237,60.5
OK-137,Stephens County,61.625,59,-0.1043,61.7
OK-139,Texas County,56.0333,59,0.0199,56
OK-141,Tillman County,62.6333,85,0.5358,62.1
OK-143,Tulsa County,60.1167,71,0.2418,59.9
OK-145,Wagoner County,60.275,57,-0.1668,60.4
OK-147,Washington County,58.6833,70,0.102,58.6
OK-149,Washita County,60.0667,81,0.4561,59.6
OK-151,Woods County,57.5167,60,-0.0293,57.5
OK-153,Woodward County,57.45,56,-0.1278,57.6
OR-001,Baker County,45.1333,84,0.7392,44.4
OR-003,Benton County,52.0083,87,0.4841,51.5
OR-005,Clackamas County,48.2,89,0.6097,47.6
OR-007,Clatsop County,50.0917,107,1.1619,48.9
OR-009,Columbia County,50.7417,104,1.0652,49.7
OR-011,Coos County,52.9333,108,1.6781,51.3
OR-013,Crook County,45.2083,76,0.4942,44.7
OR-015,Curry County,53.1083,108,1.553,51.6
OR-017,Deschutes County,43.8083,77,0.4114,43.4
OR-019,Douglas County,50.975,102,1.1439,49.8
OR-021,Gilliam County,49,55,-0.1345,49.1
OR-023,Grant County,43.7,71,0.3802,43.3
OR-025,Harney County,45.5,78,0.7507,44.7
OR-027,Hood River County,45.1167,82,0.5293,44.6
OR-029,Jackson County,50.2917,99,1.0256,49.3
OR-031,Jefferson County,46.5917,67,0.1468,46.4
OR-033,Josephine County,51.2167,104,1.3921,49.8
OR-035,Klamath County,44.325,94,1.0363,43.3
OR-037,Lake County,44.7167,80,0.7338,44
OR-039,Lane County,49.8333,94,0.7494,49.1
OR-041,Lincoln County,51.5,96,0.6481,50.9
OR-043,Linn County,49.0167,87,0.5461,48.5
OR-045,Malheur County,47.4667,72,0.4408,47
OR-047,Marion County,49.6917,94,0.6668,49
OR-049,Morrow County,48.7167,68,0.1951,48.5
OR-051,Multnomah County,51.3167,92,0.8159,50.5
OR-053,Polk County,51.725,100,0.7793,50.9
OR-055,Sherman County,48.7917,50,-0.1818,49
OR-057,Tillamook County,49.5333,101,0.8312,48.7
OR-059,Umatilla County,47.8417,69,0.3443,47.5
OR-061,Union County,43.9417,76,0.587,43.4
OR-063,Wallowa County,42.775,68,0.1364,42.6
OR-065,Wasco County,47.475,67,0.0753,47.4
OR-067,Washington County,50.9333,96,0.8217,50.1
OR-069,Wheeler County,46.1167,53,-0.1773,46.3
OR-071,Yamhill County,51.6667,96,0.7028,51
PA-001,Adams County,53.4417,117,2.3031,51.1
PA-003,Allegheny County,52.3417,109,1.6677,50.7
PA-005,Armstrong County,50.5333,111,1.8223,48.7
PA-007,Beaver County,51.2917,101,1.2446,50
PA-009,Bedford County,51.4417,115,1.8151,49.6
PA-011,Berks County,53.1,117,2.53,50.6
PA-013,Blair County,49.85,107,1.3629,48.5
PA-015,Bradford County,47.2583,102,1.3385,45.9
PA-017,Bucks County,53.9333,119,3.1278,50.8
PA-019,Butler County,49.9583,104,1.3018,48.7
PA-021,Cambria County,48.2167,107,1.3197,46.9
PA-023,Cameron County,46.9833,79,0.319,46.7
PA-025,Carbon County,48.5417,108,1.9372,46.6
PA-027,Centre County,48.75,92,0.6467,48.1
PA-029,Chester County,53.9833,116,2.4747,51.5
PA-031,Clarion County,49.1667,114,2.0792,47.1
PA-033,Clearfield County,47.925,96,1.0761,46.8
PA-035,Clinton County,48.1583,84,0.4619,47.7
PA-037,Columbia County,49.3667,106,1.4983,47.9
PA-039,Crawford County,48.4,110,2.0412,46.4
