"CountyName","StateAbbr","LocationName","asset_id","asset_latitude","asset_longitude","CountyFIPS","AsthmaRate","h_TotalPopulation","SmokingRate","h_latitude","h_longitude","emissions_per_sq_mile","ALAND_SQMI","PopulationDensity","Temp","StateDesc","asset_name","County","Population"
"chester","PA",42029306151.5,1833572271.5,39.875,-75.875,42029,9.85,5487,17,39.879653345,-75.86671349,0.000757269156384916,750.529,699,53.9833,"Pennsylvania","United States_Pennsylvania_","chester county",524989
"carroll","GA",13045910700,1833577650,33.625,-85.125,13045,10,8728,24.1,33.61099412,-85.133462485,0.00206950976388234,499.028,240,63.325,"Georgia","United States_Georgia_","carroll county",119992
"dekalb","IL",17037001700,1833546314,41.75,-88.75,17037,9,3454,17.2,41.79072118,-88.67520901,0.00699894924369761,631.337,166,47.8167,"Illinois","United States_Illinois_","dekalb county",104897
"tangipahoa","LA",22105953350,1833545449,30.875,-90.5,22105,11.95,5212.5,29.5,30.846042865,-90.52838215,0.00307887713585892,791.31,170,68.5333,"Louisiana","United States_Louisiana_","tangipahoa parish",134758
"levy","FL",12075970334,1833545572.66667,29.4166666666667,-82.75,12075,9.63333333333333,6046,24.1333333333333,29.4216729066667,-82.73836554,0.00145543221532815,1118.223,37,72.125,"Florida","United States_Florida_","levy county",41503
"norman","MN",27107960200,1833545807.2,47.35,-96.55,27107,9.1,2130.8,19.12,47.332713144,-96.567309028,0.0474322654875891,872.789,7,37.6,"Minnesota","United States_Minnesota_","norman county",6375
"loup","NE",31115972800,1833558792,41.75,-99.5,31115,8,632,15.4,41.91384164,-99.45441366,0.00392814077820023,563.521,1,46.4,"Nebraska","United States_Nebraska_","loup county",664
"lake","SD",46079960300,1833546685,44,-97,46079,8,2253,14.7,43.93716291,-97.00146476,0.00146838758347069,562.891,23,42.0833,"South Dakota","United States_South Dakota_","lake county",12797
"lycoming","PA",42081010200,1833596539.5,41.375,-77.25,42081,10.4,2846,23.25,41.381414935,-77.162948805,0.000219185225066042,1228.765,92,48.2833,"Pennsylvania","United States_Pennsylvania_","lycoming county",113299
"muskogee","OK",40101001400,1833553526,35.75,-95.5,40101,10.6333333333333,5468.66666666667,22.1,35.7269414633333,-95.4562057666667,0.0262945811149752,810.624,84,60.8917,"Oklahoma","United States_Oklahoma_","muskogee county",67997
"adams","IN",18001030400,1833560207,40.75,-85,18001,10.2,3400,23.6,40.78635581,-84.93996858,0.000905923977521972,338.926,106,50.9667,"Indiana","United States_Indiana_","adams county",35777
"sheridan","WY",56033000600,1833563520,45,-107.5,56033,8.8,4697,17.7,44.8383359,-107.4061941,0.0018755314863241,2523.361,12,41.0417,"Wyoming","United States_Wyoming_","sheridan county",30485
"victoria","TX",48469000975.5,1833546319.25,28.75,-96.9375,48469,8.7,2316.5,20.05,28.78315349,-96.96799401,0.011621206376567,882.106,104,71.6833,"Texas","United States_Texas_","victoria county",92084
